protected_areas_year_ended_30_june_all_other_protected_areas_ha, protected_areas_year_ended_30_june_protected_areas_num, land_area_land_area_ha, slr_instlltns_accmltve_ttl_2001_incrse_wtr_htr_frm_prvs_yr_pc, protected_areas_year_ended_30_june_national_parks_pc, sa2_maincode_2016, protected_areas_year_ended_30_june_indigenous_protected_area_ha, protected_areas_year_ended_30_june_protected_areas_total_pc, protected_areas_year_ended_30_june_nature_reserves_pc, protected_areas_year_ended_30_june_nature_reserves_num, slr_instlltns_accmltve_ttl_2001_smll_scle_pnl_systm_nm, protected_areas_year_ended_30_june_indigenous_protected_area_pc, protected_areas_year_ended_30_june_national_parks_num, sa2_name_2016, protected_areas_year_ended_30_june_protected_areas_total_num, yr, protected_areas_year_ended_30_june_all_other_protected_areas_pc, solar_installations_accumulative_total_2001_water_heater_num, protected_areas_year_ended_30_june_protected_areas_total_ha, protected_areas_year_ended_30_june_national_parks_ha, slr_instlltns_accmltve_ttl_2001_incrse_pnl_frm_prvs_yr_pc, protected_areas_year_ended_30_june_indigenous_area_num, protected_areas_year_ended_30_june_nature_reserves_ha
null,null,1393.6,9.2,null,"210051245",null,null,null,null,979,null,null,"Gladstone Park - Westmeadows",null,2018,null,345,null,null,10.9,null,null
53,2,9590.6,13.2,null,"210051246",null,0.6,null,null,1193,null,null,"Greenvale - Bulla",2,2018,0.6,1557,53,null,13.9,null,null
null,null,8166.2,13.4,null,"212031303",null,null,null,null,1080,null,null,"Cranbourne South",null,2018,null,1668,null,null,18.7,null,null
null,null,1229.0,17.9,null,"210051249",null,null,null,null,1797,null,null,"Roxburgh Park - Somerton",null,2018,null,2432,null,null,17.5,null,null
null,null,396.9,17.7,null,"210051441",null,null,null,null,728,null,null,"Craigieburn - Central",null,2018,null,944,null,null,15.9,null,null
null,null,1335.1,18.4,null,"210051442",null,null,null,null,838,null,null,"Craigieburn - North",null,2018,null,1262,null,null,19.5,null,null
null,null,621.2,20.0,null,"210051444",null,null,null,null,554,null,null,"Craigieburn - West",null,2018,null,1433,null,null,43.5,null,null
133,1,7063.3,19.4,null,"210051445",null,1.9,null,null,168,null,null,"Mickleham - Yuroke",1,2018,1.9,339,133,null,31.3,null,null
null,null,804.4,2.0,null,"211011251",null,null,null,null,775,null,null,"Bayswater",null,2018,null,205,null,null,13.3,null,null
null,null,1526.5,20.2,null,"211011254",null,null,null,null,980,null,null,"Knoxfield - Scoresby",null,2018,null,291,null,null,12.9,null,null
2,1,1191.5,18.5,null,"210051443",null,0.1,null,null,1138,null,null,"Craigieburn - South",1,2018,0.1,1764,2,null,20.4,null,null
null,null,1849.4,5.0,null,"211011255",null,null,null,null,453,null,null,"Lysterfield",null,2018,null,106,null,null,12.1,null,null
null,null,416.9,4.7,null,"211011257",null,null,null,null,606,null,null,"Rowville - North",null,2018,null,111,null,null,11.2,null,null
null,null,935.3,5.0,null,"211011258",null,null,null,null,813,null,null,"Rowville - South",null,2018,null,148,null,null,11.1,null,null
null,null,830.6,22.5,null,"211011259",null,null,null,null,828,null,null,"Wantirna",null,2018,null,397,null,null,12.5,null,null
null,null,1335.6,22.5,null,"211011260",null,null,null,null,1051,null,null,"Wantirna South",null,2018,null,506,null,null,12.5,null,null
null,null,820.0,5.0,null,"211011256",null,null,null,null,1147,null,null,"Rowville - Central",null,2018,null,211,null,null,11.4,null,null
null,null,1126.3,6.9,null,"211011446",null,null,null,null,1282,null,null,"Boronia",null,2018,null,294,null,null,11.6,null,null
null,null,698.5,5.2,0.2,"211011447",null,0.2,null,null,930,null,1,"Ferntree Gully (North)",1,2018,null,224,2,2,12.6,null,null
19,1,949.2,4.5,null,"211031265",null,2.0,null,null,968,null,null,"Croydon Hills - Warranwood",1,2018,2.0,346,19,null,12.2,null,null
null,null,991.1,5.9,null,"211031266",null,null,null,null,815,null,null,"Ringwood",null,2018,null,216,null,null,13.2,null,null
5,3,939.3,6.3,null,"211031267",null,0.6,null,null,1004,null,null,"Ringwood East",3,2018,0.6,355,5,null,14.6,null,null
null,null,1289.8,8.5,null,"212031304",null,null,null,null,1148,null,null,"Cranbourne West",null,2018,null,1726,null,null,23.4,null,null
null,null,915.0,5.4,0.2,"211011448",null,0.2,null,null,1014,null,1,"Ferntree Gully (South) - Upper Ferntree Gully",1,2018,null,236,2,2,12.0,null,null
null,null,473.1,6.1,null,"211031268",null,null,null,null,471,null,null,"Ringwood North",null,2018,null,121,null,null,12.7,null,null
null,null,571.6,2.9,2.2,"211011449",null,2.2,null,null,256,null,1,"The Basin",1,2018,null,35,13,13,9.9,null,null
10,1,2080.3,10.3,null,"211021261",null,0.5,null,null,926,null,null,"Donvale - Park Orchards",1,2018,0.5,235,10,null,14.0,null,null
757,6,4575.9,4.5,null,"211021262",null,16.5,null,null,695,null,null,"Warrandyte - Wonga Park",6,2018,16.5,164,757,null,12.1,null,null
2,1,990.9,3.5,null,"211031263",null,0.2,null,null,794,null,null,"Bayswater North",1,2018,0.2,207,2,null,12.3,null,null
null,null,809.8,4.5,null,"211031450",null,null,null,null,788,null,null,"Croydon - East",null,2018,null,324,null,null,13.1,null,null
null,1,679.8,4.0,null,"211031451",null,0.1,null,null,643,null,null,"Croydon - West",1,2018,0.1,287,null,null,13.8,null,null
25,1,735.8,6.2,null,"212031306",null,3.4,null,null,1550,null,null,"Lynbrook - Lyndhurst",1,2018,3.4,1861,25,null,16.7,null,null
null,null,407.0,12.7,null,"211041269",null,null,null,null,516,null,null,"Forest Hill",null,2018,null,231,null,null,14.7,null,null
null,null,662.7,7.0,null,"211041270",null,null,null,null,654,null,null,"Mitcham (Vic.)",null,2018,null,305,null,null,12.0,null,null
1308,4,9851.1,5.4,null,"212031308",null,13.3,null,null,795,null,null,"Pearcedale - Tooradin",4,2018,13.3,333,1308,null,12.9,null,null
null,null,507.9,13.0,null,"211041271",null,null,null,null,566,null,null,"Nunawading",null,2018,null,260,null,null,15.0,null,null
null,null,824.3,8.8,null,"211051277",null,null,null,null,613,null,null,"Kilsyth",null,2018,null,174,null,null,11.5,null,null
null,null,461.0,10.5,null,"211041272",null,null,null,null,622,null,null,"Vermont",null,2018,null,168,null,null,12.7,null,null
null,null,618.4,9.9,null,"211041273",null,null,null,null,715,null,null,"Vermont South",null,2018,null,188,null,null,12.4,null,null
118,15,5565.2,1.6,0.6,"211051274",null,2.7,null,null,548,null,1,"Belgrave - Selby",16,2018,2.1,126,151,33,13.7,null,null
142,6,10938.2,3.3,null,"211051278",null,1.3,null,null,1342,null,null,"Lilydale - Coldstream",6,2018,1.3,467,142,null,12.1,null,null
266,7,6855.5,null,null,"211051279",null,3.9,null,null,471,null,null,"Monbulk - Silvan",7,2018,3.9,90,266,null,11.9,null,null
706,64,37162.4,5.8,26.8,"212011289",null,28.7,null,null,1346,null,1,"Emerald - Cockatoo",65,2018,1.9,585,10667,9961,14.4,null,null
1,1,2220.2,27.9,null,"211051275",null,0.1,null,null,690,null,null,"Chirnside Park",1,2018,0.1,362,1,null,16.4,null,null
406,25,36952.4,1.8,32.5,"211051276",null,33.6,null,null,1303,null,2,"Healesville - Yarra Glen",27,2018,1.1,463,12413,12007,14.6,null,null
315,5,40943.5,16.7,null,"212011290",null,0.8,null,null,979,null,null,"Koo Wee Rup",5,2018,0.8,945,315,null,16.0,null,null
null,1,1054.3,7.5,6.4,"211051280",null,6.4,null,null,426,null,1,"Montrose",2,2018,null,86,68,68,11.5,null,null
null,null,1254.3,2.7,null,"211051281",null,null,null,null,1393,null,null,"Mooroolbark",null,2018,null,575,null,null,12.4,null,null
166,15,8189.9,null,40.6,"211051282",null,42.6,null,null,435,null,1,"Mount Dandenong - Olinda",16,2018,2.0,108,3487,3321,16.3,null,null
null,null,1698.9,4.9,2.8,"211051283",null,2.8,null,null,618,null,1,"Mount Evelyn",1,2018,null,107,47,47,13.2,null,null
50,4,3722.1,8.1,null,"212011291",null,1.3,null,null,1366,null,null,"Pakenham - North",4,2018,1.3,2636,50,null,18.8,null,null
null,null,805.7,15.4,null,"212021297",null,null,null,null,836,null,null,"Hallam",null,2018,null,172,null,null,15.3,null,null
20,2,3440.9,7.9,null,"212021299",null,0.6,null,null,677,null,null,"Narre Warren North",2,2018,0.6,232,20,null,14.7,null,null
40,2,889.1,2.1,5.7,"211051284",null,10.2,null,null,499,null,1,"Upwey - Tecoma",3,2018,4.5,99,91,50,12.1,null,null
568,10,11175.6,1.9,null,"211051285",null,5.1,null,null,672,null,null,"Wandin - Seville",10,2018,5.1,163,568,null,13.7,null,null
1358,36,72975.8,1.4,24.7,"211051286",null,26.5,null,null,1459,null,2,"Yarra Valley",38,2018,1.9,370,19359,18000,13.2,null,null
260,8,4117.8,25.2,null,"212011287",null,6.3,null,null,1102,null,null,"Beaconsfield - Officer",8,2018,6.3,2818,260,null,38.3,null,null
473,13,37311.1,19.0,7.4,"212011288",null,8.7,null,null,795,null,1,"Bunyip - Garfield",14,2018,1.3,438,3228,2755,11.7,null,null
null,null,4975.7,6.6,null,"212011292",null,null,null,null,2200,null,null,"Pakenham - South",null,2018,null,3856,null,null,16.5,null,null
null,null,1974.8,7.6,null,"212021293",null,null,null,null,1661,null,null,"Berwick - North",null,2018,null,1167,null,null,12.7,null,null
null,null,1485.5,7.6,null,"212021294",null,null,null,null,1749,null,null,"Berwick - South",null,2018,null,1293,null,null,13.8,null,null
null,null,519.3,9.1,null,"212021295",null,null,null,null,504,null,null,"Doveton",null,2018,null,144,null,null,12.2,null,null
272,1,1447.5,2.6,null,"212021453",null,18.8,null,null,825,null,null,"Endeavour Hills - North",1,2018,18.8,119,272,null,11.9,null,null
null,null,487.4,5.5,null,"212021455",null,null,null,null,1072,null,null,"Narre Warren - North East",null,2018,null,289,null,null,11.6,null,null
null,null,930.5,5.4,null,"212021456",null,null,null,null,1044,null,null,"Narre Warren - South West",null,2018,null,294,null,null,12.0,null,null
null,null,1334.2,19.3,null,"212031305",null,null,null,null,1859,null,null,"Hampton Park - Lynbrook",null,2018,null,353,null,null,12.5,null,null
null,null,622.0,5.3,null,"212031457",null,null,null,null,1028,null,null,"Narre Warren South (East)",null,2018,null,277,null,null,11.4,null,null
null,null,677.7,5.4,null,"212031458",null,null,null,null,1292,null,null,"Narre Warren South (West)",null,2018,null,354,null,null,11.7,null,null
null,null,632.3,37.7,null,"212041309",null,null,null,null,527,null,null,"Clarinda - Oakleigh South",null,2018,null,157,null,null,14.8,null,null
null,null,793.8,66.3,null,"212041310",null,null,null,null,516,null,null,"Clayton South",null,2018,null,158,null,null,18.1,null,null
null,null,6182.4,6.6,null,"212041311",null,null,null,null,1306,null,null,"Dandenong",null,2018,null,486,null,null,20.1,null,null
null,null,945.9,6.5,null,"212041312",null,null,null,null,1068,null,null,"Dandenong North",null,2018,null,359,null,null,17.8,null,null
null,null,724.4,7.6,null,"212041313",null,null,null,null,554,null,null,"Dingley Village",null,2018,null,71,null,null,13.8,null,null
null,null,3027.9,11.2,null,"212041314",null,null,null,null,2040,null,null,"Keysborough",null,2018,null,2386,null,null,17.4,null,null
null,null,375.7,21.1,null,"212041316",null,null,null,null,326,null,null,"Noble Park North",null,2018,null,86,null,null,12.0,null,null
234,7,3762.0,6.7,null,"214011374",null,6.2,null,null,1800,null,null,"Langwarrin",7,2018,6.2,682,234,null,14.4,null,null
null,null,1110.5,56.7,null,"212041317",null,null,null,null,1066,null,null,"Springvale",null,2018,null,395,null,null,11.4,null,null
null,null,456.0,8.1,null,"212041318",null,null,null,null,668,null,null,"Springvale South",null,2018,null,93,null,null,14.2,null,null
null,null,376.7,21.7,null,"212041459",null,null,null,null,507,null,null,"Noble Park - East",null,2018,null,140,null,null,12.9,null,null
null,null,479.5,20.9,null,"212041460",null,null,null,null,770,null,null,"Noble Park - West",null,2018,null,226,null,null,12.9,null,null
null,null,652.3,13.3,null,"213011334",null,null,null,null,966,null,null,"St Albans - North",null,2018,null,264,null,null,10.5,null,null
null,null,670.9,12.5,null,"212051319",null,null,null,null,736,null,null,"Ashwood - Chadstone",null,2018,null,695,null,null,11.7,null,null
null,null,941.1,9.0,null,"212051320",null,null,null,null,462,null,null,"Clayton",null,2018,null,499,null,null,13.8,null,null
null,null,916.5,13.4,null,"212051321",null,null,null,null,1160,null,null,"Glen Waverley - East",null,2018,null,483,null,null,11.5,null,null
null,null,1043.9,13.2,null,"212051327",null,null,null,null,1075,null,null,"Wheelers Hill",null,2018,null,454,null,null,11.7,null,null
null,null,767.6,13.3,null,"212051322",null,null,null,null,1040,null,null,"Glen Waverley - West",null,2018,null,442,null,null,11.8,null,null
null,null,648.4,15.6,null,"212051323",null,null,null,null,781,null,null,"Mount Waverley - North",null,2018,null,556,null,null,13.2,null,null
null,null,458.8,9.7,null,"213011328",null,null,null,null,407,null,null,"Ardeer - Albion",null,2018,null,193,null,null,10.0,null,null
null,null,870.1,15.5,null,"212051324",null,null,null,null,905,null,null,"Mount Waverley - South",null,2018,null,663,null,null,13.7,null,null
null,null,1071.9,8.9,null,"212051325",null,null,null,null,1024,null,null,"Mulgrave",null,2018,null,393,null,null,13.7,null,null
null,null,1017.0,16.3,null,"212051326",null,null,null,null,832,null,null,"Oakleigh - Huntingdale",null,2018,null,371,null,null,10.5,null,null
38,1,440.6,1.1,null,"213011329",null,8.5,null,null,680,null,null,"Cairnlea",1,2018,8.5,647,38,null,8.5,null,null
null,null,350.6,4.4,null,"213011331",null,null,null,null,557,null,null,"Delahey",null,2018,null,310,null,null,7.3,null,null
204,3,2133.5,0.9,null,"213011330",null,9.6,null,null,1789,null,null,"Deer Park - Derrimut",3,2018,9.6,2193,204,null,10.1,null,null
null,null,766.0,9.0,null,"213011332",null,null,null,null,781,null,null,"Keilor Downs",null,2018,null,109,null,null,10.6,null,null
null,null,443.2,12.4,null,"213011333",null,null,null,null,692,null,null,"Kings Park (Vic.)",null,2018,null,191,null,null,10.0,null,null
null,null,626.5,13.5,null,"213011335",null,null,null,null,829,null,null,"St Albans - South",null,2018,null,227,null,null,10.5,null,null
null,null,473.2,8.8,null,"213011336",null,null,null,null,498,null,null,"Sunshine",null,2018,null,223,null,null,9.7,null,null
null,null,394.8,4.5,null,"213011339",null,null,null,null,766,null,null,"Sydenham",null,2018,null,445,null,null,7.7,null,null
null,null,802.4,8.9,null,"213011337",null,null,null,null,598,null,null,"Sunshine North",null,2018,null,268,null,null,9.7,null,null
99,1,1846.3,6.4,null,"213011340",null,5.4,null,null,1078,null,null,"Taylors Lakes",1,2018,5.4,117,99,null,10.8,null,null
5,1,1768.5,11.3,null,"213021341",null,0.3,null,null,908,null,null,"Altona",1,2018,0.3,404,5,null,9.7,null,null
20,1,1054.0,4.4,null,"213021342",null,1.9,null,null,1175,null,null,"Altona Meadows",1,2018,1.9,239,20,null,9.1,null,null
null,null,1296.9,8.7,null,"213011338",null,null,null,null,944,null,null,"Sunshine West",null,2018,null,424,null,null,9.8,null,null
49,1,1618.4,15.6,null,"213021343",null,3.0,null,null,525,null,null,"Altona North",1,2018,3.0,333,49,null,11.9,null,null
null,null,884.1,5.3,null,"213021344",null,null,null,null,780,null,null,"Newport",null,2018,null,541,null,null,12.2,null,null
null,null,496.7,9.0,null,"213031348",null,null,null,null,443,null,null,"Footscray",null,2018,null,304,null,null,9.7,null,null
null,null,162.0,4.9,null,"213021345",null,null,null,null,312,null,null,"Seabrook",null,2018,null,64,null,null,9.1,null,null
16,1,734.6,18.2,null,"213021346",null,2.2,null,null,685,null,null,"Williamstown",1,2018,2.2,253,16,null,12.3,null,null
null,null,168.0,9.6,null,"213031350",null,null,null,null,301,null,null,"Seddon - Kingsville",null,2018,null,229,null,null,9.9,null,null
null,null,748.4,7.2,null,"213031347",null,null,null,null,652,null,null,"Braybrook",null,2018,null,640,null,null,10.3,null,null
null,null,598.1,9.9,null,"213031351",null,null,null,null,404,null,null,"West Footscray - Tottenham",null,2018,null,378,null,null,11.0,null,null
null,null,549.3,3.7,null,"213031349",null,null,null,null,401,null,null,"Maribyrnong",null,2018,null,279,null,null,12.3,null,null
null,null,562.0,8.4,null,"213031352",null,null,null,null,661,null,null,"Yarraville",null,2018,null,337,null,null,12.6,null,null
994,9,19629.8,11.7,10.3,"213041353",null,15.3,null,null,1753,null,1,"Bacchus Marsh",10,2018,5.1,1913,3009,2014,11.4,null,null
35,4,6654.8,23.2,null,"213041355",null,0.5,null,null,1240,null,null,"Hillside",4,2018,0.5,2057,35,null,17.5,null,null
378,8,13070.5,11.4,4.9,"213041356",null,7.8,null,null,1626,null,1,"Melton",9,2018,2.9,1820,1024,646,10.9,null,null
1,1,11096.1,12.6,null,"213041357",null,null,null,null,1883,null,null,"Melton South",1,2018,null,3109,1,null,21.0,null,null
64,2,2420.2,11.5,null,"213041358",null,2.7,null,null,1335,null,null,"Melton West",2,2018,2.7,1669,64,null,12.6,null,null
192,5,12576.1,43.7,null,"213041359",null,1.5,null,null,421,null,null,"Rockbank - Mount Cottrell",5,2018,1.5,1151,192,null,34.9,null,null
null,null,701.1,12.7,null,"213051362",null,null,null,null,2102,null,null,"Hoppers Crossing - South",null,2018,null,2706,null,null,15.6,null,null
null,null,199.5,1.0,null,"213041462",null,null,null,null,390,null,null,"Burnside Heights",null,2018,null,405,null,null,9.6,null,null
null,null,1091.4,12.6,null,"213051361",null,null,null,null,2128,null,null,"Hoppers Crossing - North",null,2018,null,2681,null,null,15.1,null,null
22,1,2224.5,9.7,null,"213051363",null,1.0,null,null,502,null,null,"Laverton",1,2018,1.0,1005,22,null,15.4,null,null
25,1,6214.2,13.2,null,"213051365",null,0.4,null,null,2731,null,null,"Tarneit",1,2018,0.4,4650,25,null,22.7,null,null
null,null,2716.5,12.3,null,"213051366",null,null,null,null,1618,null,null,"Truganina",null,2018,null,3494,null,null,25.6,null,null
null,null,11403.3,15.0,null,"213051368",null,null,null,null,913,null,null,"Werribee - South",null,2018,null,1577,null,null,12.3,null,null
null,null,12824.1,14.1,null,"213051369",null,null,null,null,1902,null,null,"Wyndham Vale",null,2018,null,3489,null,null,16.3,null,null
null,null,1903.6,15.8,null,"213051464",null,null,null,null,634,null,null,"Point Cook - East",null,2018,null,1627,null,null,20.3,null,null
null,null,849.1,15.2,null,"213051465",null,null,null,null,1739,null,null,"Point Cook - North",null,2018,null,3207,null,null,13.3,null,null
98,1,2030.8,10.0,null,"214011370",null,4.8,null,null,1634,null,null,"Carrum Downs",1,2018,4.8,691,98,null,13.1,null,null
null,null,775.7,15.0,null,"213051467",null,null,null,null,1638,null,null,"Werribee - East",null,2018,null,2782,null,null,12.0,null,null
8,1,12766.3,14.7,null,"213051468",null,0.1,null,null,985,null,null,"Werribee - West",1,2018,0.1,1585,8,null,12.8,null,null
10,1,1162.4,5.3,null,"214011371",null,0.8,null,null,1272,null,null,"Frankston",1,2018,0.8,257,10,null,10.6,null,null
108,1,1323.8,5.3,null,"214011372",null,8.1,null,null,1067,null,null,"Frankston North",1,2018,8.1,179,108,null,10.0,null,null
null,1,1456.0,5.6,null,"214011373",null,null,null,null,1036,null,null,"Frankston South",1,2018,null,207,null,null,10.4,null,null
2,1,1981.5,8.2,null,"214011376",null,0.1,null,null,1269,null,null,"Skye - Sandhurst",1,2018,0.1,1557,2,null,17.6,null,null
21,1,1243.2,1.3,null,"214011375",null,1.7,null,null,1152,null,null,"Seaford (Vic.)",1,2018,1.7,229,21,null,10.9,null,null
77,3,3020.9,7.4,null,"214021382",null,2.5,null,null,1495,null,null,"Mount Martha",3,2018,2.5,724,77,null,13.4,null,null
1,2,6718.8,8.2,18.1,"214021383",null,18.1,null,null,1862,null,2,"Point Nepean",4,2018,null,737,1215,1214,16.3,null,null
370,2,4505.8,5.1,null,"214021377",null,8.2,null,null,976,null,null,"Dromana",2,2018,8.2,1011,370,null,12.7,null,null
1346,25,28737.9,2.5,6.2,"214021378",null,10.9,null,null,747,null,1,"Flinders",26,2018,4.7,374,3120,1774,13.9,null,null
42,5,10888.4,4.1,null,"214021379",null,0.4,null,null,1965,null,null,"Hastings - Somers",5,2018,0.4,947,42,null,14.9,null,null
12,2,2109.3,8.0,null,"214021380",null,0.6,null,null,1857,null,null,"Mornington",2,2018,0.6,886,12,null,10.7,null,null
null,null,2320.8,5.5,null,"214021381",null,null,null,null,1172,null,null,"Mount Eliza",null,2018,null,367,null,null,18.6,null,null
185,2,2379.6,6.5,null,"214021384",null,7.8,null,null,1886,null,null,"Rosebud - McCrae",2,2018,7.8,1154,185,null,9.7,null,null
129,4,11735.4,7.0,null,"214021385",null,1.1,null,null,1593,null,null,"Somerville",4,2018,1.1,503,129,null,11.4,null,null
