frt_nut_grapes_wine_prod, hay_crl_for_hay, frt_nut_pome_frt_apples, brdacrcrp_crlcrp_brly, brdacrcrp_crlcrp_maize, frt_nut_grapes_total, frt_nut_stn_frt_cherries, frt_nut_pome_frt_pear, frt_nut_citrus_oth_nec, frt_nut_pome_frt_oth_nec, nursry_flwrs_turf_cut_flwrs_outdoor, frt_nut_stn_frt_plums, veggies_total, veggies_beans, brdacrcrp_non_crlcrp_chickpeas, brdacrcrp_crlcrp_rice, frt_nut_citrus_limes, veggies_tomatoes_process, frt_nut_oth_frt_strawberries, frt_nut_orchard_fruit_avocados, frt_nut_stn_frt_peaches, livstk_prod_eggs, livstk_slght_oth_oth_nec, brdacrcrp_non_crlcrp_lentils, brdacrcrp_total, veggies_potatoe, frt_nut_oth_frt_oth_berr_nec, total_agriculture, veggies_pumpkins, brdacrcrp_non_crlcrp_mung_bean, nursry_flwrs_turf_turf, brdacrcrp_othcrp_nec, hay_total, veggies_lettuces, frt_nut_stn_frt_nectarines, brdacrcrp_non_crlcrp_lupins, nursry_flwrs_turf_total, veggies_peas_fresh, brdacrcrp_non_crlcrp_faba_beans, livstk_slght_oth_poultry, livstk_slght_oth_sheep_lamb, frt_nut_stn_frt_oth_nec, veggies_cauliflowers, veggies_oth_nec, frt_nut_citrus_grapefruits, livstk_prod_wool, veggies_peas_process, veggies_broccoli, livstk_prod_milk, brdacrcrp_non_crlcrp_cotton, brdacrcrp_crlcrp_tritcle, frt_nut_stn_frt_apricots, livstk_slght_oth_catl_calves, brdacrcrp_crlcrp_oth_crl, brdacrcrp_non_crlcrp_oilseed_oth, livstk_slght_oth_total, frt_nut_orchard_fruit_mangoes, veggies_onions, frt_nut_citrus_oranges, frt_nut_citrus_lemons, brdacrcrp_crlcrp_wheat, nursry_flwrs_turf_cut_flwrs, brdacrcrp_non_crlcrp_peanuts, livstk_prod_total, frt_nut_citrus_mandarins, nursry_flwrs_turf_nursry_outdoor, brdacrcrp_crlcrp_srgum, frt_nut_nuts_almonds, frt_nut_oth_frt_kiwifruit, frt_nut_oth_frt_oth_nec, hay_oth_crp_for_hay, frt_nut_orchard_fruit_oth_nec, veggies_tomatoes_fresh, frt_nut_oth_frt_pineapples, livstk_slght_oth_goats, nursry_flwrs_turf_nursry_undcov, veggies_cabbages, frt_nut_oth_frt_bananas, hay_lucerne_cut_for_hay, livstk_slght_oth_pigs, hay_oth_psture_for_hay, veggies_mushrooms, frt_nut_excl_grp_total, frt_nut_oth_frt_blueberries, brdacrcrp_non_crlcrp_sugar_cane, sa2_name11, veggies_melons, total_crp_value, nursry_flwrs_turf_cut_flwrs_undcov, veggies_brssl_sprts, veggies_carrots, brdacrcrp_non_crlcrp_oilseed_canola, veggies_sweet_corn, frt_nut_grapes_oth_use, frt_nut_nuts_macadamias, nursry_flwrs_turf_nurseries, veggies_capsicum, sa2_code11, brdacrcrp_non_crlcrp_oth_pulses, frt_nut_nuts_oth_nec, brdacrcrp_crlcrp_oats
null,161821.23,null,141815.94,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0,null,1103580.4,null,null,9072606.0,null,null,null,null,245781.77,null,null,null,null,null,null,null,931908.75,null,null,null,null,604399.8,null,null,null,null,null,null,394664.28,null,null,7106658.0,null,null,null,null,492652.94,null,null,604399.8,null,null,null,null,null,null,28939.96,null,null,null,null,null,null,null,4760.6,null,50259.95,null,null,null,null,"Portarlington",null,1361547.6,null,null,null,388691.53,null,null,null,null,null,"203031051",null,null,80419.95
1545.35,14433.43,null,null,null,1545.35,null,null,null,null,null,null,19210.49,null,null,null,null,null,null,null,null,null,0.0,null,58847.7,null,null,974583.1,null,null,null,null,72606.85,null,null,54517.28,83808.37,null,null,null,297213.97,null,null,19210.49,null,98696.55,null,null,null,null,null,null,342653.88,null,null,639867.9,null,null,null,null,4330.42,null,null,98696.55,null,83808.37,null,null,null,null,null,null,null,null,null,null,null,null,null,null,58173.43,null,null,null,null,"Queenscliff",null,236018.77,null,null,null,null,null,null,null,83808.37,null,"203031052",null,null,null
null,630.03,null,null,null,null,null,null,null,null,1.9410574E7,null,19144.63,null,null,null,null,null,null,null,null,null,0.0,null,null,null,null,2.7654456E7,null,null,4731483.5,null,63330.34,184.68,null,null,2.5410208E7,null,null,null,573686.44,null,null,null,null,277362.22,null,null,null,null,null,null,562817.9,null,null,1383194.5,null,null,null,null,null,1.9410574E7,null,778578.3,null,268263.47,null,null,null,null,null,null,null,null,null,999888.2,null,null,3213.77,null,59486.54,null,null,null,null,"Torquay",8523.61,2.5492684E7,null,null,10410.88,null,null,null,null,1268151.6,25.46,"203031053",null,null,null
null,6454.38,1299617.5,61902.88,null,null,1.145546E7,null,null,null,27435.51,null,18463.02,null,null,null,null,null,null,null,null,450.04,0.0,null,81030.23,18463.02,25049.19,4.4839008E7,null,null,5283490.0,5897.84,1359854.5,null,null,null,5310925.5,null,null,801.13,3085777.2,null,null,null,null,1741012.2,null,null,3597.94,null,null,null,2.0456968E7,null,null,2.3543546E7,null,null,null,null,null,27435.51,null,1745060.2,null,null,null,null,null,null,6698.83,null,null,null,null,null,null,null,null,null,1346701.4,null,1.2780127E7,null,null,"Alexandra",null,1.95504E7,null,null,null,null,null,null,null,null,null,"204011054",null,null,13229.51
null,9223.19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,106056.95,null,null,null,null,9223.19,null,null,null,null,null,null,null,89.37,null,null,null,null,6759.55,null,null,null,null,null,null,89984.84,null,null,90074.21,null,null,null,null,null,null,null,6759.55,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Parkville",null,9223.19,null,null,null,null,null,null,null,null,null,"206041124",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6522377.0,null,null,null,null,null,null,null,433649.72,6956026.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6956026.5,null,null,"Abbotsford",null,6956026.5,null,null,null,null,null,null,null,null,null,"206071139",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44936.13,null,null,null,null,null,null,null,null,44936.13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44936.13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Hawthorn",null,44936.13,null,null,null,null,null,null,null,44936.13,null,"207011151",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,74471.37,null,null,null,null,null,null,null,null,null,null,null,null,null,null,74471.37,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,74471.37,null,null,null,null,null,null,null,null,null,null,null,null,"Templestowe",null,74471.37,null,null,null,null,null,null,null,null,null,"207021159",null,null,null
null,449681.75,null,280744.34,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5239026.0,0.0,null,799324.7,null,null,1.6852978E7,null,null,null,null,452625.75,null,null,null,null,null,null,9495326.0,266063.88,null,null,null,null,122723.02,null,null,null,null,null,null,477887.97,null,null,1.0239278E7,null,null,null,null,158900.56,null,null,5361749.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2944.03,null,null,null,null,"Werribee",null,1251950.4,null,null,null,359679.75,null,null,null,null,null,"213051367",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,6.610716E7,301948.22,null,null,null,null,null,null,null,null,null,null,null,null,null,7.3026016E7,null,null,null,null,36503.78,1.482706E7,null,null,3019997.5,null,null,2215420.0,null,null,1.6024271E7,7020540.0,null,null,null,2.5258904E7,null,null,null,null,207847.42,null,null,2423267.5,null,null,null,null,null,null,null,null,null,639356.56,null,null,null,null,36503.78,null,null,null,null,2380640.8,2674436.2,null,null,null,null,null,null,null,null,"Werribee - South",null,6.9163664E7,null,null,null,null,null,null,null,3019997.5,null,"213051368",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.0143731E7,null,null,null,null,null,null,null,null,4967573.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,67849.39,null,null,null,876372.9,null,null,null,null,null,null,null,null,null,4023351.2,null,null,null,null,null,null,null,null,null,"Moorabbin - Heatherton",null,9014058.0,67849.39,null,null,null,null,null,null,4899724.0,null,"208031191",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0,null,null,null,null,33718.81,null,null,null,null,8329.89,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5531.45,null,null,23715.56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8329.89,null,null,null,null,"Research - North Warrandyte",null,8329.89,null,null,null,null,null,null,null,null,null,"209031214",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18004.35,null,null,876864.06,null,null,null,18004.35,null,null,null,null,null,null,null,null,31371.78,null,null,null,null,27896.44,null,null,null,null,null,null,690526.9,null,null,786589.44,null,null,null,null,null,null,null,65139.03,null,null,null,null,null,null,null,null,null,null,30907.76,null,null,null,null,null,null,null,null,null,null,"Epping",null,25135.6,null,null,null,null,null,null,null,null,null,"209041218",null,null,null
null,5154.47,1456258.9,null,null,null,null,10.01,null,null,1897275.1,null,null,null,null,null,null,null,null,null,157.75,1.872636E7,null,null,null,48428.04,567671.0,5.45801E7,null,null,5161.47,null,95162.01,null,null,null,1.4945555E7,null,null,1.6555259E7,31959.41,null,null,null,null,10447.92,null,null,null,null,null,null,811900.25,null,null,1.7399118E7,null,null,null,null,null,1897275.1,null,1.8736808E7,null,1.0183088E7,null,null,null,null,997.71,null,null,null,null,2860030.2,null,null,null,null,89009.83,null,2034890.5,null,null,"Kinglake",null,1.8444176E7,null,null,null,null,null,null,null,1.3043118E7,null,"209031211",null,null,null
142686.94,null,905867.3,null,null,142686.94,null,1032774.1,null,null,null,null,25839.31,3997.01,null,null,null,null,null,null,null,1045.13,0.0,null,null,null,null,3620162.2,1629.53,null,null,null,128411.69,2501.29,null,null,42024.77,null,null,1134.33,5991.98,null,null,null,213.4,18784.93,null,null,null,null,null,null,1237225.2,null,null,1244351.6,null,2949.51,null,41479.77,null,null,null,56513.49,null,null,null,null,null,null,null,null,2298.54,null,null,42024.77,null,null,null,null,128411.69,null,1980334.5,null,null,"Panton Hill - St Andrews",null,2319297.2,null,null,2244.82,null,null,null,null,42024.77,10218.61,"209031212",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5227079.0,null,null,null,null,null,null,null,null,209701.95,null,null,4180700.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4180700.2,null,null,null,null,null,null,null,null,null,209701.95,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Plenty - Yarrambat",null,209701.95,null,null,null,null,null,null,null,209701.95,null,"209031213",null,null,null
61813.83,null,null,null,null,61813.83,null,null,null,null,null,null,null,null,null,null,null,null,379013.66,null,null,null,null,null,null,null,null,440827.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,379013.66,null,null,"Chirnside Park",null,440827.5,null,null,null,null,null,null,null,null,null,"211051275",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14577.41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14577.41,null,null,14577.41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Wattle Glen - Diamond Creek",null,null,null,null,null,null,null,null,null,null,null,"209031215",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,7.5571424E7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7.6144624E7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7.5571424E7,null,null,null,"South Morang",null,7.5644192E7,null,null,null,null,null,null,null,null,null,"209041222",null,null,null
1610936.4,null,6116.22,null,null,1610936.4,null,2329.73,null,null,null,null,4068.29,null,null,null,null,null,5594308.0,null,null,4802700.5,0.0,null,null,null,133646.2,1.8703098E7,null,null,955374.3,null,338758.94,null,null,null,1936421.0,null,null,2623202.5,9556.59,null,null,4068.29,null,6069.55,null,null,33203.73,null,null,null,1601780.1,null,null,4234539.0,null,null,null,null,null,null,null,4841974.0,null,657105.06,null,null,null,null,null,null,null,null,null,323941.7,null,null,null,null,338758.94,null,5736400.5,null,null,"Healesville - Yarra Glen",null,9626585.0,null,null,null,null,null,null,null,981046.75,null,"211051276",null,null,null
1733363.6,54195.34,5469281.0,null,null,1733363.6,103505.72,301567.12,null,null,226817.34,null,5604528.5,null,null,null,null,null,8798820.0,null,52640.48,21720.94,0.0,null,15319.58,null,null,2.8237074E7,null,null,null,null,526423.94,null,null,null,2499309.2,null,null,251079.77,21518.73,null,null,34578.88,null,7704.09,null,null,662393.94,null,null,null,2167896.0,null,null,2440494.5,null,null,null,null,15319.58,226817.34,null,691818.94,null,1031662.5,null,null,null,null,null,null,44893.63,null,null,1240829.4,null,null,null,null,472228.62,null,1.4725815E7,null,null,"Lilydale - Coldstream",null,2.510476E7,null,4835140.5,null,null,null,null,null,2272492.0,null,"211051278",null,null,null
null,null,null,null,null,null,1174460.5,null,null,null,4007665.2,null,323077.16,null,null,null,2323.85,null,1.0144071E7,null,null,2.31,0.0,null,3248.77,null,1585959.9,9.0846784E7,null,null,null,null,5133.3,null,null,null,7.1173384E7,null,null,5563494.0,null,null,null,156553.89,null,null,null,null,null,null,null,null,3849.37,null,null,5567343.5,null,null,null,481665.03,null,1.7317922E7,null,2.31,null,3.8730032E7,null,null,null,93719.19,null,null,38372.56,null,null,1.5125428E7,null,null,null,null,5133.3,null,1.3774596E7,292396.2,null,"Monbulk - Silvan",null,8.527944E7,1.3310256E7,null,null,3248.77,null,null,null,5.385546E7,33277.86,"211051279",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,167510.56,null,null,null,null,null,null,null,null,6958769.0,null,null,null,null,null,null,null,null,6791258.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,699248.5,null,null,null,null,null,null,null,null,null,6092010.0,null,null,null,null,null,null,167510.56,null,null,"Mooroolbark",null,6958769.0,null,null,null,null,null,null,null,6791258.5,null,"211051281",null,null,null
null,null,null,null,null,null,null,null,null,null,4271630.0,null,null,null,null,null,null,131.7,33502.11,null,null,null,null,null,null,null,null,1.0337455E7,null,null,null,null,null,null,null,null,1.0261042E7,null,null,null,null,null,null,7164.98,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4027.12,null,5948338.5,null,null,null,2808647.8,null,null,null,null,null,null,null,null,null,1504055.9,null,null,null,null,null,null,37529.24,null,null,"Mount Dandenong - Olinda",null,1.0337455E7,1676708.6,null,null,null,null,null,null,4312703.5,null,"211051282",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2135128.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2135128.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2135128.2,null,null,"Thomastown",null,2135128.2,null,null,null,null,null,null,null,null,null,"209041223",null,null,null
null,110184.93,5560.2,null,null,null,5360.97,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0,null,0.0,null,780219.5,null,null,3925831.8,null,null,null,null,358179.6,null,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3614.57,2772896.8,null,null,2772896.8,null,null,null,null,547862.4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,247994.67,null,14535.75,null,null,"Wallan",null,1152934.9,null,null,null,222997.22,null,null,null,null,null,"209041224",null,null,null
0.0,null,3706.8,null,null,0.0,null,1863.78,null,null,null,17170.9,96283.84,null,null,null,null,null,null,null,146.81,null,0.0,null,null,null,272110.72,3925955.0,960.34,null,null,null,78901.93,null,2922.8,null,1669224.1,null,null,null,172072.6,null,null,null,null,89749.53,null,null,182667.31,null,null,54218.56,1284915.5,null,null,1456988.0,null,92265.35,null,null,null,null,null,272416.84,null,1312843.8,null,null,null,null,null,null,1715.11,null,null,356380.28,null,null,14805.57,null,64096.36,null,352140.38,null,null,"Whittlesea",null,2196550.2,null,null,null,null,null,null,null,1669224.1,1343.03,"209041225",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,184602.55,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,184602.55,null,null,184602.55,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Keilor",null,null,null,null,null,null,null,null,null,null,null,"210011228",null,null,null
null,null,null,null,null,null,140217.44,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,866315.2,null,null,null,null,4969.36,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,204807.48,null,null,610203.94,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4969.36,null,140217.44,null,null,"Gisborne",null,256111.23,null,null,null,null,null,null,null,null,null,"210021232",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0,null,null,null,null,25338.72,null,null,null,null,18335.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18335.2,null,null,null,null,"Macedon",null,21728.25,null,null,null,null,null,null,null,null,null,"210021233",null,null,null
null,3131.67,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0,null,null,null,null,2333457.8,null,null,null,null,3131.67,null,null,null,149787.12,null,null,2133590.8,4977.42,null,null,null,null,3491.17,null,null,null,null,null,null,38479.73,null,null,2177047.8,null,null,null,null,null,null,null,3491.17,null,149787.12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Riddells Creek",null,152918.78,null,null,null,null,null,null,null,149787.12,null,"210021234",null,null,null
53056.87,456828.66,null,244299.7,null,53056.87,null,null,null,null,170113.02,null,null,null,null,null,null,null,null,null,null,224288.45,0.0,null,1415287.2,null,null,1.5836629E7,null,null,null,null,836727.3,null,null,null,2507729.5,null,null,168946.06,4216874.5,null,null,null,null,2526539.8,null,null,501020.84,null,36615.17,null,3281799.2,null,null,7771979.5,null,null,null,null,746507.9,368490.97,null,3251849.0,null,2048120.8,null,null,null,null,132521.92,null,null,null,null,91117.76,null,null,4242.64,104359.42,243134.1,null,null,null,null,"Romsey",null,4812801.0,198377.95,null,null,341155.12,null,null,null,2139238.5,null,"210021235",null,null,46709.38
null,null,null,null,null,null,null,null,null,null,null,null,130324.9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,130324.9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,130324.9,null,null,null,null,null,null,null,null,null,null,null,null,"Melbourne Airport",null,130324.9,null,null,null,null,null,null,null,null,null,"210051248",null,null,null
8756.96,null,null,null,null,8756.96,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0,null,25315.23,null,null,1188595.1,null,null,null,null,null,null,null,null,235174.62,null,null,null,19497.07,null,null,null,null,8474.27,null,null,null,null,null,null,891377.0,null,null,910874.06,null,null,null,null,4595.87,null,null,8474.27,null,149787.12,null,null,null,null,null,null,null,null,null,85387.51,null,null,null,null,null,null,null,null,null,"Sunbury",null,269246.8,null,null,null,20719.36,null,null,null,235174.62,null,"210041240",null,null,null
23544.73,1739.59,null,null,null,23544.73,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36.86,0.0,null,16187.42,null,null,null,null,null,null,null,1739.59,null,null,null,null,null,null,606.94,144101.6,null,null,null,null,82543.96,null,null,7006.03,null,null,null,195531.7,null,null,460649.28,null,null,null,null,null,null,null,89586.85,null,null,null,null,null,null,null,null,null,null,120409.03,null,null,null,null,null,null,null,null,null,null,"Sunbury - South",null,null,null,null,null,null,null,null,null,null,null,"210041241",null,null,6993.38
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,112570.13,null,null,1021170.8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,249716.27,null,null,null,658884.4,null,null,658884.4,null,null,null,null,112570.13,null,null,249716.27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Craigieburn - Mickleham",null,112570.13,null,null,null,null,null,null,null,null,null,"210051244",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1094036.5,null,null,null,null,null,null,null,null,1094036.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1094036.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Gladstone Park - Westmeadows",null,1094036.5,null,null,null,null,null,null,null,1094036.5,null,"210051245",null,null,null
null,null,null,null,null,null,null,null,null,null,23932.62,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1089168.9,null,null,null,null,null,null,null,null,23932.62,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,147603.05,null,null,501772.72,null,null,null,null,null,23932.62,null,241564.45,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Greenvale - Bulla",null,345831.72,null,null,null,null,null,null,null,null,null,"210051246",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0,null,null,null,null,30464.71,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30464.71,null,null,30464.71,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Knoxfield - Scoresby",null,null,null,null,null,null,null,null,null,null,null,"211011254",null,null,null
null,null,null,null,null,null,null,null,null,null,4705209.0,null,4.007758E7,1339.52,null,null,null,null,null,null,null,3943756.0,0.0,null,null,null,271063.28,8.01284E7,null,null,null,null,23557.86,141984.67,null,null,2.582941E7,1170.32,null,9213425.0,7253.26,null,470006.97,3.7902432E7,null,3418.41,null,102212.17,210643.95,null,null,null,544650.4,null,null,9768968.0,null,null,null,null,null,1.6910732E7,null,4157818.2,null,1152736.8,null,null,null,null,null,null,683322.56,null,null,7765942.5,null,null,null,3639.58,23557.86,null,271063.28,null,null,"Cranbourne South",null,6.6201612E7,1.2205522E7,122219.29,583205.75,null,null,null,null,8918679.0,null,"212031303",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,237266.06,20092.8,null,null,null,null,null,null,null,null,null,null,null,null,null,4427880.0,null,null,null,null,6673.03,null,null,null,3882956.0,null,null,null,null,null,null,164793.56,null,null,null,null,null,null,null,null,62527.51,null,null,300388.72,null,null,null,null,null,null,null,null,null,229706.69,null,null,null,null,null,null,null,null,null,3653249.2,null,null,null,null,6673.03,null,null,null,null,"Narre Warren North",null,4126895.2,null,52379.7,null,null,null,null,null,3882956.0,null,"212021299",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5.56,0.0,null,null,null,null,422103.5,null,null,null,null,7554.46,null,null,null,171133.98,null,null,54.92,1312.56,null,null,null,null,830.6,null,null,null,null,null,null,136098.39,null,null,137465.88,null,null,null,null,null,null,null,836.16,null,149787.12,null,null,null,null,null,null,null,null,null,21346.88,null,null,null,null,7554.46,null,null,null,null,"Lysterfield",null,283801.47,null,null,null,null,null,null,null,171133.98,null,"211011255",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,160281.06,null,null,null,null,null,null,null,null,160281.06,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,74893.56,null,null,null,null,null,null,null,null,null,85387.51,null,null,null,null,null,null,null,null,null,"Wantirna",null,160281.06,null,null,null,null,null,null,null,160281.06,null,"211011259",null,null,null
6696.5,null,null,null,null,6696.5,null,null,null,null,null,null,247190.36,null,null,null,null,null,null,null,null,null,null,null,null,null,null,253886.84,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,247190.36,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Wantirna South",null,253886.84,null,null,null,null,null,null,null,null,null,"211011260",null,null,null
15453.46,null,null,null,null,15453.46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,9211.88,null,0.0,null,null,null,null,2333599.2,null,null,null,null,null,null,42323.48,null,2266610.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0,null,null,null,null,null,null,null,null,null,1500392.9,null,null,null,null,null,null,null,null,null,766217.6,null,null,null,null,null,null,51535.36,null,null,"Warrandyte - Wonga Park",null,2333599.2,null,null,null,null,null,null,null,2266610.5,null,"211021262",null,null,null
null,null,2602175.5,null,null,null,null,101762.41,null,null,null,17170.9,null,null,null,null,null,null,null,null,2936.12,26.28,null,null,null,null,null,3136571.0,null,null,null,null,43002.23,null,null,null,null,null,null,259.66,1030.84,null,null,null,null,392.71,null,null,null,null,null,null,228424.06,null,null,229714.56,null,null,null,139390.39,null,null,null,419.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,43002.23,null,2863435.2,null,null,"Pakenham - North",null,2906437.5,null,null,null,null,null,null,null,null,null,"212011291",null,null,null
null,null,null,null,null,null,null,null,null,null,141760.84,246.64,null,null,null,null,6971.55,null,null,null,null,null,null,null,null,null,120956.52,1815997.2,null,null,null,null,1742.37,null,null,null,1446836.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,239243.84,null,141760.84,null,null,null,859600.1,null,null,null,null,null,null,null,null,null,445475.38,null,null,null,null,1742.37,null,367418.56,null,null,"Mount Evelyn",null,1815997.2,null,null,null,null,null,null,null,1305075.5,null,"211051283",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,93421.98,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4796645.5,null,null,2288121.5,null,35023.28,null,null,null,2313217.2,null,null,null,null,null,null,20599.2,null,null,null,null,1452034.1,null,null,null,902948.75,null,null,902948.75,null,null,null,null,null,null,null,1452034.1,null,15983.91,null,null,null,null,null,null,null,null,null,9111.78,null,null,null,null,35023.28,null,null,null,null,"Pakenham - South",null,2441662.5,null,8729.95,null,null,64092.84,null,null,25095.69,null,"212011292",null,null,null
